payment_id,order_id,amount,payment_mode,payment_ts,payment_status
PAY00000113,O00047613,71413.56,WALLET,2026-08-19 22:36:00,SUCCESS
PAY00000114,O00040918,86510.33,COD,2026-09-10 15:03:00,SUCCESS
PAY00000115,O00043971,5155.97,NETBANKING,2026-08-14 05:50:00,SUCCESS
PAY00000116,O00048654,97622.32,CARD,2026-09-05 12:54:00,SUCCESS
PAY00000117,O00027763,45279.0,NETBANKING,2026-09-10 11:25:00,SUCCESS
PAY00000118,O00015593,64740.91,CARD,2026-08-03 10:00:00,SUCCESS
PAY00000119,O00032280,32109.98,WALLET,2026-08-06 22:43:00,SUCCESS
PAY00000120,O00013993,112835.16,CARD,2026-08-20 12:30:00,SUCCESS
PAY00000121,O00032686,109561.53,COD,2026-08-01 21:39:00,SUCCESS
PAY00000122,O00000757,4699.93,CARD,2026-08-28 14:32:00,SUCCESS
PAY00000123,O00006511,95913.5,CARD,2026-09-11 00:07:00,SUCCESS
PAY00000124,O00011429,64660.63,UPI,2026-08-09 20:07:00,SUCCESS
PAY00000125,O00035044,23066.29,UPI,2026-08-22 03:03:00,SUCCESS
PAY00000126,O00011589,46659.9,WALLET,2026-08-07 09:22:00,SUCCESS
PAY00000127,O00016516,104716.32,COD,2026-08-24 21:37:00,SUCCESS
PAY00000128,O00033452,52330.32,WALLET,2026-08-20 03:16:00,SUCCESS
PAY00000129,O00029884,107861.39,COD,2026-08-09 10:22:00,SUCCESS
PAY00000130,O00047389,90228.05,NETBANKING,2026-08-03 17:57:00,SUCCESS
PAY00000131,O00008984,42873.13,WALLET,2026-08-17 00:30:00,SUCCESS
PAY00000132,O00030528,60589.08,WALLET,2026-08-13 08:56:00,SUCCESS
PAY00000133,O00045997,44745.89,COD,2026-08-11 17:51:00,SUCCESS
PAY00000134,O00046762,35457.27,NETBANKING,2026-08-22 11:57:00,SUCCESS
PAY00000135,O00014517,117368.01,WALLET,2026-08-10 04:54:00,SUCCESS
PAY00000136,O00049382,16274.54,NETBANKING,2026-08-28 05:37:00,SUCCESS
PAY00000137,O00001020,29894.88,WALLET,2026-08-04 20:11:00,SUCCESS
PAY00000138,O00032200,113749.9,WALLET,2026-08-02 18:42:00,SUCCESS
PAY00000139,O00032069,4444.42,UPI,2026-08-29 23:54:00,SUCCESS
PAY00000140,O00009321,66249.94,CARD,2026-08-15 11:58:00,SUCCESS
PAY00000141,O00008369,39119.11,COD,2026-08-03 00:05:00,SUCCESS
PAY00000142,O00044071,16857.26,UPI,2026-08-24 09:49:00,SUCCESS
PAY00000143,O00049823,19525.31,UPI,2026-08-31 15:09:00,SUCCESS
PAY00000144,O00033811,114259.51,COD,2026-08-09 11:21:00,SUCCESS
PAY00000145,O00029137,91459.41,UPI,2026-08-29 13:37:00,SUCCESS
PAY00000146,O00032816,12509.96,CARD,2026-09-10 12:37:00,SUCCESS
PAY00000147,O00016510,54651.35,COD,2026-09-11 05:11:00,SUCCESS
PAY00000148,O00046310,39700.63,COD,2026-08-01 03:52:00,SUCCESS
PAY00000149,O00032670,104376.59,NETBANKING,2026-08-27 22:02:00,SUCCESS
PAY00000150,O00041016,21843.91,UPI,2026-08-03 14:37:00,SUCCESS
PAY00000151,O00043598,113478.21,WALLET,2026-09-01 08:12:00,SUCCESS
PAY00000152,O00013841,80672.65,WALLET,2026-09-07 04:41:00,SUCCESS
PAY00000153,O00048213,25754.06,COD,2026-08-25 13:54:00,SUCCESS
PAY00000154,O00026958,14695.93,NETBANKING,2026-08-05 04:30:00,SUCCESS
PAY00000155,O00031213,50586.83,COD,2026-08-29 15:36:00,SUCCESS
PAY00000156,O00018023,118943.63,CARD,2026-08-05 15:53:00,SUCCESS
PAY00000157,O00029263,6884.85,NETBANKING,2026-08-28 23:06:00,SUCCESS
PAY00000158,O00034636,42798.88,COD,2026-08-21 16:11:00,SUCCESS
PAY00000159,O00032512,86702.69,WALLET,2026-08-06 20:12:00,SUCCESS
PAY00000160,O00022543,26391.63,COD,2026-08-08 22:22:00,SUCCESS
PAY00000161,O00003484,57621.94,CARD,2026-09-07 06:50:00,SUCCESS
PAY00000162,O00048775,55143.07,COD,2026-09-02 16:57:00,SUCCESS
PAY00000163,O00023860,53694.39,WALLET,2026-08-03 03:07:00,SUCCESS
PAY00000164,O00032360,14530.27,WALLET,2026-08-10 02:02:00,SUCCESS
PAY00000165,O00031445,27793.17,WALLET,2026-08-29 03:33:00,SUCCESS
PAY00000166,O00045160,75630.81,UPI,2026-09-01 16:58:00,SUCCESS
PAY00000167,O00019105,41586.75,COD,2026-09-11 09:18:00,SUCCESS
PAY00000168,O00031693,10674.91,WALLET,2026-08-21 08:49:00,SUCCESS
PAY00000169,O00003412,64787.58,WALLET,2026-08-04 07:07:00,SUCCESS
PAY00000170,O00023408,11467.41,UPI,2026-08-19 02:35:00,SUCCESS
PAY00000171,O00013816,2217.74,CARD,2026-09-09 04:02:00,SUCCESS
PAY00000172,O00013916,60194.9,WALLET,2026-09-02 08:24:00,SUCCESS
PAY00000173,O00009112,66322.18,WALLET,2026-08-01 22:46:00,SUCCESS
PAY00000174,O00020868,69528.25,WALLET,2026-08-28 17:05:00,SUCCESS
PAY00000175,O00042168,18639.82,COD,2026-09-06 03:40:00,SUCCESS
PAY00000176,O00047568,86979.91,NETBANKING,2026-09-11 05:45:00,SUCCESS
PAY00000177,O00031843,91783.21,COD,2026-09-10 00:50:00,SUCCESS
PAY00000178,O00009010,8250.06,COD,2026-08-07 22:12:00,SUCCESS
PAY00000179,O00033982,65260.77,UPI,2026-08-17 23:59:00,SUCCESS
PAY00000180,O00003314,384.22,COD,2026-08-03 00:57:00,SUCCESS
PAY00000181,O00037383,49883.91,UPI,2026-08-30 01:56:00,SUCCESS
PAY00000182,O00039299,25477.93,CARD,2026-09-09 14:03:00,SUCCESS
PAY00000183,O00035435,37628.24,UPI,2026-08-04 14:44:00,SUCCESS
PAY00000184,O00029859,62299.61,UPI,2026-08-06 20:17:00,SUCCESS
PAY00000185,O00005104,41883.63,NETBANKING,2026-09-04 07:33:00,SUCCESS
PAY00000186,O00046276,79442.62,NETBANKING,2026-09-10 23:15:00,SUCCESS
PAY00000187,O00016805,59466.16,UPI,2026-09-05 21:56:00,SUCCESS
PAY00000188,O00008268,10525.16,UPI,2026-08-09 03:32:00,SUCCESS
PAY00000189,O00048612,95279.4,COD,2026-08-23 16:10:00,SUCCESS
PAY00000190,O00011288,21853.72,NETBANKING,2026-09-05 04:01:00,SUCCESS
PAY00000191,O00040426,92158.6,CARD,2026-08-07 16:34:00,SUCCESS
PAY00000192,O00012860,58563.3,CARD,2026-08-23 22:50:00,SUCCESS
PAY00000193,O00027432,66628.81,WALLET,2026-09-11 16:47:00,SUCCESS
PAY00000194,O00010890,9201.04,WALLET,2026-09-10 03:01:00,SUCCESS
PAY00000195,O00028140,105615.04,NETBANKING,2026-08-01 09:53:00,SUCCESS
PAY00000196,O00045640,77170.91,CARD,2026-08-25 18:39:00,SUCCESS
PAY00000197,O00005303,115967.94,UPI,2026-08-06 13:14:00,SUCCESS
PAY00000198,O00022355,41445.31,COD,2026-08-18 10:39:00,SUCCESS
PAY00000199,O00005838,88823.37,CARD,2026-08-16 01:22:00,SUCCESS
PAY00000200,O00027275,74666.24,UPI,2026-08-27 12:08:00,SUCCESS
PAY00000201,O00029754,101649.1,WALLET,2026-09-06 08:57:00,SUCCESS
PAY00000202,O00038316,80204.66,COD,2026-08-18 07:15:00,SUCCESS
PAY00000203,O00038498,14297.24,CARD,2026-08-02 03:45:00,SUCCESS
PAY00000204,O00010564,113429.66,UPI,2026-08-30 23:37:00,SUCCESS
PAY00000205,O00043667,5061.62,UPI,2026-09-11 15:32:00,SUCCESS
PAY00000206,O00046567,46732.58,WALLET,2026-08-09 11:26:00,SUCCESS
PAY00000207,O00018447,73960.96,WALLET,2026-08-27 02:39:00,SUCCESS
PAY00000208,O00046688,15071.37,UPI,2026-08-24 19:38:00,SUCCESS
PAY00000209,O00015395,40166.76,NETBANKING,2026-08-21 15:03:00,SUCCESS
PAY00000210,O00036026,89702.89,CARD,2026-08-12 10:48:00,SUCCESS
PAY00000211,O00011810,111977.94,UPI,2026-08-15 23:04:00,SUCCESS
PAY00000212,O00042813,31521.29,COD,2026-08-02 11:56:00,SUCCESS
PAY00000213,O00024283,30102.48,WALLET,2026-08-02 01:47:00,SUCCESS
PAY00000214,O00026948,32430.11,UPI,2026-08-11 02:38:00,SUCCESS
PAY00000215,O00045732,79025.6,COD,2026-08-26 22:57:00,SUCCESS
PAY00000216,O00032957,88637.18,CARD,2026-08-31 05:25:00,SUCCESS
PAY00000217,O00046321,118096.63,WALLET,2026-08-29 23:48:00,SUCCESS
PAY00000218,O00026819,108361.83,CARD,2026-08-24 13:42:00,SUCCESS
PAY00000219,O00021030,20825.18,NETBANKING,2026-08-18 22:02:00,SUCCESS
PAY00000220,O00018435,101838.35,UPI,2026-08-04 07:18:00,SUCCESS
PAY00000221,O00032765,107148.41,CARD,2026-08-02 14:34:00,SUCCESS
PAY00000222,O00041459,84095.71,NETBANKING,2026-08-13 22:39:00,SUCCESS
PAY00000223,O00012334,42514.34,NETBANKING,2026-09-08 00:52:00,SUCCESS
PAY00000224,O00040597,42066.32,NETBANKING,2026-08-05 16:22:00,SUCCESS
PAY00000225,O00033348,54471.85,WALLET,2026-09-05 02:49:00,SUCCESS
PAY00000226,O00003631,41442.07,UPI,2026-08-03 19:13:00,SUCCESS
PAY00000227,O00028432,21128.78,CARD,2026-08-12 10:35:00,SUCCESS
PAY00000228,O00004690,75191.09,COD,2026-08-27 03:20:00,SUCCESS
PAY00000229,O00037829,23881.85,CARD,2026-08-02 05:51:00,SUCCESS
PAY00000230,O00027882,10222.9,UPI,2026-09-06 07:26:00,SUCCESS
PAY00000231,O00003212,106080.26,UPI,2026-08-11 12:56:00,SUCCESS
PAY00000232,O00023299,79681.29,WALLET,2026-09-08 12:23:00,SUCCESS
PAY00000233,O00010715,84200.33,CARD,2026-08-16 04:22:00,SUCCESS
PAY00000234,O00026120,83513.3,COD,2026-09-05 03:42:00,SUCCESS
PAY00000235,O00036969,99164.96,CARD,2026-08-05 03:43:00,SUCCESS
PAY00000236,O00043277,26641.65,COD,2026-08-23 13:39:00,SUCCESS
PAY00000237,O00047403,30318.19,UPI,2026-08-27 06:47:00,SUCCESS
PAY00000238,O00024773,78114.09,WALLET,2026-08-10 16:05:00,SUCCESS
PAY00000239,O00024134,116026.94,NETBANKING,2026-08-17 23:25:00,SUCCESS
PAY00000240,O00011983,89127.0,CARD,2026-08-15 16:04:00,SUCCESS
PAY00000241,O00012159,19580.89,UPI,2026-08-21 09:37:00,SUCCESS
PAY00000242,O00005261,74078.7,UPI,2026-08-27 02:24:00,SUCCESS
PAY00000243,O00026594,20415.41,NETBANKING,2026-08-04 14:39:00,SUCCESS
PAY00000244,O00049063,17328.17,CARD,2026-08-24 23:47:00,SUCCESS
PAY00000245,O00014978,110786.22,WALLET,2026-08-09 00:02:00,SUCCESS
PAY00000246,O00026671,49569.9,COD,2026-08-01 11:56:00,SUCCESS
PAY00000247,O00014254,86533.63,WALLET,2026-09-08 13:40:00,SUCCESS
PAY00000248,O00008222,64341.5,UPI,2026-09-08 16:04:00,SUCCESS
PAY00000249,O00019574,34549.78,WALLET,2026-08-11 23:00:00,SUCCESS
PAY00000250,O00044184,64450.04,NETBANKING,2026-08-12 03:27:00,SUCCESS
PAY00000251,O00011530,73184.11,CARD,2026-09-08 15:43:00,SUCCESS
PAY00000252,O00009161,45649.69,WALLET,2026-08-29 02:06:00,SUCCESS
PAY00000253,O00034810,70839.17,UPI,2026-08-25 11:29:00,SUCCESS
PAY00000254,O00011192,5634.84,UPI,2026-08-27 06:01:00,SUCCESS
PAY00000255,O00034200,37515.13,WALLET,2026-08-09 22:19:00,SUCCESS
PAY00000256,O00009583,42625.95,UPI,2026-09-08 02:49:00,SUCCESS
PAY00000257,O00003544,3177.86,NETBANKING,2026-08-23 02:11:00,SUCCESS
PAY00000258,O00041638,7007.36,UPI,2026-08-25 20:57:00,SUCCESS
PAY00000259,O00039617,53191.5,NETBANKING,2026-08-08 09:54:00,SUCCESS
PAY00000260,O00018093,81337.99,UPI,2026-09-03 11:37:00,SUCCESS
PAY00000261,O00009275,79362.3,NETBANKING,2026-08-31 18:08:00,SUCCESS
PAY00000262,O00023606,28672.3,CARD,2026-08-09 13:49:00,SUCCESS
PAY00000263,O00032261,27772.48,COD,2026-08-22 15:47:00,SUCCESS
PAY00000264,O00040177,17179.51,COD,2026-08-09 20:29:00,SUCCESS
PAY00000265,O00038584,41811.84,NETBANKING,2026-08-09 12:52:00,SUCCESS
PAY00000266,O00013040,57833.37,UPI,2026-09-02 07:56:00,SUCCESS
PAY00000267,O00028318,41478.36,COD,2026-08-08 07:33:00,SUCCESS
PAY00000268,O00026037,64028.45,NETBANKING,2026-09-10 13:25:00,SUCCESS
PAY00000269,O00029665,80131.21,COD,2026-08-29 14:05:00,SUCCESS
PAY00000270,O00010547,90738.96,UPI,2026-08-26 22:30:00,SUCCESS
PAY00000271,O00044741,57362.78,WALLET,2026-08-15 01:01:00,SUCCESS
PAY00000272,O00002587,17957.26,CARD,2026-08-29 14:42:00,SUCCESS
PAY00000273,O00006655,33947.05,NETBANKING,2026-08-31 13:14:00,SUCCESS
PAY00000274,O00038915,99754.95,WALLET,2026-09-02 12:17:00,SUCCESS
PAY00000275,O00043150,88205.31,NETBANKING,2026-08-25 08:25:00,SUCCESS
PAY00000276,O00014841,24829.62,CARD,2026-09-01 15:05:00,SUCCESS
PAY00000277,O00000909,57390.08,UPI,2026-08-24 20:49:00,SUCCESS
PAY00000278,O00023764,104658.03,CARD,2026-08-10 10:57:00,SUCCESS
PAY00000279,O00000001,112948.41,UPI,2026-08-30 12:55:00,SUCCESS
PAY00000280,O00022280,77556.21,COD,2026-08-09 06:55:00,SUCCESS
PAY00000281,O00041480,47450.11,NETBANKING,2026-08-02 23:41:00,SUCCESS
PAY00000282,O00035498,2674.49,COD,2026-08-01 14:11:00,SUCCESS
PAY00000283,O00035001,49431.16,CARD,2026-08-31 02:45:00,SUCCESS
PAY00000284,O00004102,112068.43,COD,2026-08-07 19:46:00,SUCCESS
PAY00000285,O00003766,29190.41,UPI,2026-08-09 13:53:00,SUCCESS
PAY00000286,O00021058,30484.52,UPI,2026-08-08 22:48:00,SUCCESS
PAY00000287,O00003884,118597.15,UPI,2026-08-21 02:29:00,SUCCESS
PAY00000288,O00028952,26580.52,UPI,2026-09-01 13:20:00,SUCCESS
PAY00000289,O00012747,57497.89,UPI,2026-08-08 05:35:00,SUCCESS
PAY00000290,O00049368,19804.35,COD,2026-09-09 14:12:00,SUCCESS
PAY00000291,O00048879,48892.17,UPI,2026-08-23 05:52:00,SUCCESS
PAY00000292,O00038630,28894.94,WALLET,2026-08-19 03:35:00,SUCCESS
PAY00000293,O00012907,32856.0,NETBANKING,2026-09-05 10:17:00,SUCCESS
PAY00000294,O00048742,108539.98,CARD,2026-08-03 13:41:00,SUCCESS
PAY00000295,O00026187,52599.66,CARD,2026-09-11 22:28:00,SUCCESS
PAY00000296,O00003186,10424.43,WALLET,2026-08-16 06:10:00,SUCCESS
PAY00000297,O00009070,2258.03,UPI,2026-09-08 01:52:00,SUCCESS
PAY00000298,O00013536,47335.89,CARD,2026-08-14 03:35:00,SUCCESS
PAY00000299,O00015230,25624.93,UPI,2026-09-06 01:53:00,SUCCESS
PAY00000300,O00006930,95947.19,CARD,2026-09-10 13:34:00,SUCCESS
PAY00000301,O00043036,1381.59,UPI,2026-08-06 02:06:00,SUCCESS
PAY00000302,O00019807,76513.86,WALLET,2026-08-20 02:24:00,SUCCESS
PAY00000303,O00043348,15980.11,CARD,2026-09-11 21:49:00,SUCCESS
PAY00000304,O00042232,115973.84,CARD,2026-08-29 09:25:00,SUCCESS
PAY00000305,O00041256,109681.32,COD,2026-08-23 02:30:00,SUCCESS
PAY00000306,O00040100,60736.02,WALLET,2026-08-15 03:10:00,SUCCESS
PAY00000307,O00037587,81275.05,COD,2026-09-05 14:03:00,SUCCESS
PAY00000308,O00004040,111261.78,COD,2026-08-09 01:47:00,SUCCESS
PAY00000309,O00003274,66357.41,CARD,2026-08-05 19:38:00,SUCCESS
PAY00000310,O00011343,32854.22,CARD,2026-08-03 21:53:00,SUCCESS
PAY00000311,O00030236,4281.33,COD,2026-09-01 14:32:00,SUCCESS
PAY00000312,O00030127,16858.32,WALLET,2026-08-31 11:39:00,SUCCESS
PAY00000313,O00034543,107757.23,CARD,2026-09-09 02:57:00,SUCCESS
PAY00000314,O00012773,105048.14,COD,2026-08-18 06:59:00,SUCCESS
PAY00000315,O00027874,36601.25,UPI,2026-08-02 20:02:00,SUCCESS
PAY00000316,O00018495,59168.27,UPI,2026-09-08 00:31:00,SUCCESS
PAY00000317,O00028471,115265.27,UPI,2026-08-05 12:08:00,SUCCESS
PAY00000318,O00037747,51123.4,COD,2026-08-09 00:14:00,SUCCESS
PAY00000319,O00006687,74350.14,WALLET,2026-08-11 03:53:00,SUCCESS
PAY00000320,O00043374,19814.97,CARD,2026-09-09 07:16:00,SUCCESS
PAY00000321,O00047042,800.02,WALLET,2026-09-05 17:20:00,SUCCESS
PAY00000322,O00001795,23461.59,UPI,2026-08-04 10:04:00,SUCCESS
PAY00000323,O00020825,39647.79,CARD,2026-08-06 00:00:00,SUCCESS
PAY00000324,O00023852,37509.96,NETBANKING,2026-08-01 04:51:00,SUCCESS
PAY00000325,O00045291,75545.63,WALLET,2026-09-01 13:20:00,SUCCESS
PAY00000326,O00041722,109715.45,UPI,2026-08-22 14:03:00,SUCCESS
PAY00000327,O00036736,7314.6,UPI,2026-08-16 12:47:00,SUCCESS
PAY00000328,O00046251,18886.97,WALLET,2026-09-07 14:15:00,SUCCESS
PAY00000329,O00026091,51117.26,NETBANKING,2026-08-26 00:38:00,SUCCESS
PAY00000330,O00000005,78397.14,CARD,2026-08-28 18:22:00,SUCCESS
PAY00000331,O00036699,15626.47,CARD,2026-09-02 11:50:00,SUCCESS
PAY00000332,O00030691,20611.6,COD,2026-08-09 06:17:00,SUCCESS
PAY00000333,O00040270,27503.15,COD,2026-08-20 04:05:00,SUCCESS
PAY00000334,O00033452,99392.04,COD,2026-09-05 08:05:00,SUCCESS
PAY00000335,O00046830,82564.03,UPI,2026-08-04 13:56:00,SUCCESS
