order_id,customer_id,product_id,quantity,order_date,updated_at,order_status
O00000025,100917.0,P00932,3,2026-08-03,2026-08-03 18:15:00,SHIPPED
O00000026,107345.0,P00223,5,2026-09-03,2026-09-03 09:45:00,SHIPPED
O00000027,107325.0,P00907,2,2026-08-29,2026-08-29 15:38:00,CANCELLED
O00000028,104439.0,P00851,3,2026-09-03,2026-09-03 23:09:00,SHIPPED
O00000029,101720.0,P00384,1,2026-08-16,2026-08-16 16:53:00,CANCELLED
O00000030,103077.0,P00784,5,2026-08-11,2026-08-11 15:09:00,CONFIRMED
O00000031,102155.0,P00601,3,2026-08-28,2026-08-28 08:54:00,PLACED
O00000032,105937.0,P00374,4,2026-09-02,2026-09-02 10:11:00,DELIVERED
O00000033,101299.0,P00345,3,2026-09-03,2026-09-03 16:42:00,CANCELLED
O00000034,108410.0,P00127,5,2026-08-03,2026-08-03 07:03:00,DELIVERED
O00000035,104970.0,P00269,5,2026-09-09,2026-09-09 10:54:00,DELIVERED
O00000036,105548.0,P00016,3,2026-08-25,2026-08-25 03:43:00,CANCELLED
O00000037,101887.0,P00907,3,2026-09-05,2026-09-05 09:37:00,PLACED
O00000038,104183.0,P00296,4,2026-09-02,2026-09-02 18:08:00,SHIPPED
O00000039,105447.0,P00028,4,2026-08-03,2026-08-03 07:58:00,DELIVERED
O00000040,105773.0,P00616,2,2026-09-08,2026-09-08 11:22:00,SHIPPED
O00000041,101275.0,P00880,1,2026-08-22,2026-08-22 16:32:00,CANCELLED
O00000042,107318.0,P00450,3,2026-08-09,2026-08-09 21:09:00,SHIPPED
O00000043,108138.0,P00957,4,2026-08-29,2026-08-29 14:40:00,SHIPPED
O00000044,102948.0,P00379,3,2026-08-24,2026-08-24 18:55:00,PLACED
O00000045,107330.0,P00152,3,2026-08-09,2026-08-09 06:32:00,CANCELLED
O00000046,107700.0,P00631,1,2026-08-16,2026-08-16 15:38:00,PLACED
O00000047,104670.0,P00896,3,2026-09-01,2026-09-01 01:45:00,SHIPPED
O00000048,105088.0,P00583,4,2026-09-08,2026-09-08 09:35:00,DELIVERED
O00000049,101729.0,P00447,4,2026-08-17,2026-08-17 23:54:00,CONFIRMED
O00000050,105586.0,P00808,4,2026-08-13,2026-08-13 21:36:00,DELIVERED
O00000051,105965.0,P00601,2,2026-08-08,2026-08-08 04:21:00,SHIPPED
O00000052,107380.0,P00442,4,2026-08-02,2026-08-02 05:49:00,SHIPPED
O00000053,100342.0,P00385,3,2026-09-09,2026-09-09 23:50:00,PLACED
O00000054,102418.0,P00696,4,2026-08-10,2026-08-10 04:31:00,DELIVERED
O00000055,101029.0,P00965,3,2026-08-24,2026-08-24 06:51:00,SHIPPED
O00000056,103309.0,P00283,1,2026-08-08,2026-08-08 22:40:00,DELIVERED
O00000057,105554.0,P00290,3,2026-09-10,2026-09-10 01:03:00,SHIPPED
O00000058,104748.0,P00362,3,2026-09-05,2026-09-05 07:50:00,CANCELLED
O00000059,107130.0,P00821,2,2026-08-22,2026-08-22 11:59:00,PLACED
O00000060,103518.0,P00209,3,2026-08-28,2026-08-28 17:42:00,DELIVERED
O00000061,100885.0,P00574,5,2026-08-27,2026-08-27 13:32:00,SHIPPED
O00000062,109512.0,P00094,1,2026-08-01,2026-08-01 09:51:00,CANCELLED
O00000063,104813.0,P00206,1,2026-08-27,2026-08-27 22:03:00,DELIVERED
O00000064,105401.0,P00697,4,2026-08-06,2026-08-06 11:58:00,CANCELLED
O00000065,109488.0,P00468,5,2026-08-21,2026-08-21 05:05:00,CONFIRMED
O00000066,106287.0,P00909,1,2026-08-15,2026-08-15 12:35:00,CANCELLED
O00000067,106886.0,P00037,5,2026-08-16,2026-08-16 02:42:00,CANCELLED
O00000068,105739.0,P00662,1,2026-09-03,2026-09-03 16:34:00,PLACED
O00000069,109042.0,P00202,5,2026-08-03,2026-08-03 11:23:00,PLACED
O00000070,103353.0,P00178,1,2026-08-06,2026-08-06 03:23:00,CONFIRMED
O00000071,100541.0,P00626,2,2026-08-26,2026-08-26 09:03:00,CONFIRMED
O00000072,103982.0,P00512,5,2026-08-14,2026-08-14 18:27:00,PLACED
O00000073,103870.0,P00557,5,2026-08-12,2026-08-12 00:42:00,DELIVERED
O00000074,101029.0,P00574,5,2026-09-03,2026-09-03 05:41:00,CANCELLED
O00000075,104643.0,P00976,4,2026-08-14,2026-08-14 16:19:00,CANCELLED
O00000076,107419.0,P00443,4,2026-08-07,2026-08-07 13:49:00,CONFIRMED
O00000077,100130.0,P00557,2,2026-08-18,2026-08-18 04:47:00,SHIPPED
O00000078,103041.0,P00302,2,2026-09-02,2026-09-02 22:05:00,DELIVERED
O00000079,104557.0,P00153,4,2026-08-28,2026-08-28 09:30:00,SHIPPED
O00000080,107588.0,P00664,5,2026-08-18,2026-08-18 00:16:00,CONFIRMED
O00000081,107113.0,P00417,2,2026-08-11,2026-08-11 15:38:00,DELIVERED
O00000082,108492.0,P00096,5,2026-09-08,2026-09-08 20:20:00,DELIVERED
O00000083,109985.0,P00581,2,2026-08-29,2026-08-29 09:17:00,SHIPPED
O00000084,101447.0,P00314,3,2026-08-25,2026-08-25 16:28:00,DELIVERED
O00000085,109324.0,P00632,3,2026-09-09,2026-09-09 06:50:00,CONFIRMED
O00000086,107163.0,P00414,3,2026-08-06,2026-08-06 10:21:00,CONFIRMED
O00000087,100168.0,P00965,2,2026-08-13,2026-08-13 19:17:00,DELIVERED
O00000088,109102.0,P00962,5,2026-09-07,2026-09-07 00:54:00,DELIVERED
O00000089,106398.0,P00429,5,2026-08-18,2026-08-18 18:24:00,PLACED
O00000090,102983.0,P00860,2,2026-08-08,2026-08-08 21:34:00,CANCELLED
O00000091,102235.0,P00273,4,2026-08-10,2026-08-10 07:42:00,CANCELLED
O00000092,100860.0,P00232,4,2026-09-01,2026-09-01 04:11:00,CONFIRMED
O00000093,109143.0,P00793,3,2026-08-15,2026-08-15 15:45:00,PLACED
O00000094,101054.0,P00209,5,2026-08-25,2026-08-25 21:45:00,DELIVERED
O00000095,108534.0,P00987,3,2026-09-01,2026-09-01 09:45:00,DELIVERED
O00000096,104350.0,P00807,3,2026-09-02,2026-09-02 07:03:00,SHIPPED
O00000097,105334.0,P00692,4,2026-09-07,2026-09-07 12:43:00,DELIVERED
O00000098,106093.0,P00846,4,2026-09-11,2026-09-11 21:58:00,CANCELLED
O00000099,100035.0,P00056,3,2026-08-25,2026-08-25 17:43:00,SHIPPED
O00000100,106482.0,P00653,4,2026-08-05,2026-08-05 23:08:00,DELIVERED
O00000101,109858.0,P00271,2,2026-08-17,2026-08-17 20:16:00,DELIVERED
O00000102,100597.0,P00377,4,2026-08-15,2026-08-15 05:29:00,PLACED
O00000103,103161.0,P00904,3,2026-08-17,2026-08-17 13:22:00,SHIPPED
O00000104,104782.0,P00155,1,2026-08-12,2026-08-12 01:03:00,CANCELLED
O00000105,107470.0,P00733,1,2026-08-28,2026-08-28 14:16:00,SHIPPED
O00000106,105338.0,P00085,5,2026-08-09,2026-08-09 01:15:00,PLACED
O00000107,100356.0,P00824,3,2026-09-06,2026-09-06 16:22:00,DELIVERED
O00000108,103858.0,P00230,3,2026-08-24,2026-08-24 20:06:00,CANCELLED
O00000109,101436.0,P00641,3,2026-08-21,2026-08-21 01:34:00,CONFIRMED
O00000110,109219.0,P00513,4,2026-08-12,2026-08-12 05:45:00,DELIVERED
O00000111,103051.0,P00875,4,2026-08-27,2026-08-27 22:13:00,CANCELLED
O00000112,103395.0,P00210,5,2026-08-04,2026-08-04 08:08:00,PLACED
O00000113,108281.0,P00631,1,2026-08-01,2026-08-01 12:02:00,DELIVERED
O00000114,102476.0,P00130,5,2026-08-03,2026-08-03 01:23:00,PLACED
O00000115,107523.0,P00922,3,2026-09-03,2026-09-03 08:22:00,CANCELLED
O00000116,109808.0,P00022,3,2026-08-27,2026-08-27 11:39:00,CONFIRMED
O00000117,102953.0,P00360,5,2026-08-31,2026-08-31 00:45:00,CANCELLED
O00000118,104751.0,P00221,3,2026-08-28,2026-08-28 03:07:00,CANCELLED
O00000119,100103.0,P00643,4,2026-08-13,2026-08-13 01:19:00,DELIVERED
O00000120,100658.0,P00439,1,2026-08-24,2026-08-24 03:14:00,PLACED
O00000121,102293.0,P00112,4,2026-09-08,2026-09-08 04:57:00,CANCELLED
O00000122,105557.0,P00823,2,2026-09-07,2026-09-07 14:18:00,DELIVERED
O00000123,103920.0,P00990,2,2026-08-08,2026-08-08 09:28:00,PLACED
O00000124,109988.0,P00130,4,2026-08-19,2026-08-19 07:05:00,SHIPPED
O00000125,106780.0,P00436,4,2026-08-16,2026-08-16 02:11:00,SHIPPED
O00000126,103632.0,P00207,4,2026-08-26,2026-08-26 01:11:00,PLACED
O00000127,108359.0,P00023,4,2026-08-27,2026-08-27 11:21:00,CONFIRMED
O00000128,105436.0,P00347,2,2026-08-17,2026-08-17 14:20:00,DELIVERED
O00000129,100888.0,P00691,2,2026-08-30,2026-08-30 04:57:00,DELIVERED
O00000130,100942.0,P00148,4,2026-09-10,2026-09-10 15:47:00,SHIPPED
O00000131,105837.0,P00926,4,2026-08-08,2026-08-08 00:00:00,CANCELLED
O00000132,109488.0,P00003,3,2026-09-01,2026-09-01 01:27:00,DELIVERED
O00000133,101364.0,P00715,5,2026-08-05,2026-08-05 02:11:00,PLACED
O00000134,109812.0,P00208,2,2026-08-25,2026-08-25 14:55:00,CONFIRMED
O00000135,103763.0,P00779,2,2026-08-24,2026-08-24 06:36:00,PLACED
O00000136,108680.0,P00289,5,2026-09-10,2026-09-10 11:17:00,SHIPPED
O00000137,107751.0,P00838,1,2026-08-06,2026-08-06 13:21:00,DELIVERED
O00000138,102381.0,P00882,1,2026-09-07,2026-09-07 09:12:00,CANCELLED
O00000139,104447.0,P00181,4,2026-08-15,2026-08-15 01:09:00,SHIPPED
O00000140,105478.0,P00644,3,2026-08-27,2026-08-27 23:33:00,PLACED
O00000141,100566.0,P00312,1,2026-09-06,2026-09-06 00:09:00,PLACED
O00000142,108920.0,P00517,1,2026-08-21,2026-08-21 22:19:00,SHIPPED
O00000143,103627.0,P00195,3,2026-08-07,2026-08-07 01:38:00,DELIVERED
O00000144,103675.0,P00427,2,2026-08-24,2026-08-24 23:15:00,CONFIRMED
O00000145,106035.0,P00717,3,2026-08-01,2026-08-01 10:30:00,CONFIRMED
O00000146,100868.0,P00003,5,2026-08-30,2026-08-30 22:55:00,CANCELLED
O00000147,104318.0,P00239,4,2026-08-19,2026-08-19 03:25:00,DELIVERED
O00000148,102404.0,P00099,4,2026-08-03,2026-08-03 20:41:00,PLACED
O00000149,101824.0,P00839,2,2026-08-18,2026-08-18 14:03:00,SHIPPED
O00000150,103670.0,P00884,2,2026-09-09,2026-09-09 05:35:00,CANCELLED
O00000151,108833.0,P00384,4,2026-08-31,2026-08-31 02:28:00,CANCELLED
O00000152,109915.0,P00456,3,2026-08-07,2026-08-07 14:24:00,PLACED
O00000153,108087.0,P00975,2,2026-08-23,2026-08-23 19:06:00,CANCELLED
O00000154,101134.0,P00059,3,2026-08-16,2026-08-16 00:48:00,SHIPPED
O00000155,106201.0,P00622,5,2026-09-07,2026-09-07 02:49:00,CONFIRMED
O00000156,101207.0,P00500,5,2026-08-16,2026-08-16 22:41:00,CONFIRMED
O00000157,108185.0,P00029,5,2026-08-25,2026-08-25 09:41:00,CANCELLED
O00000158,100708.0,P00395,3,2026-08-17,2026-08-17 23:19:00,SHIPPED
O00000159,105474.0,P00585,2,2026-08-23,2026-08-23 04:47:00,SHIPPED
O00000160,108151.0,P00873,4,2026-08-30,2026-08-30 00:42:00,SHIPPED
O00000161,106422.0,P00185,1,2026-08-01,2026-08-01 18:16:00,DELIVERED
O00000162,106970.0,P00151,2,2026-09-04,2026-09-04 20:20:00,DELIVERED
O00000163,102624.0,P00421,1,2026-08-08,2026-08-08 18:42:00,CONFIRMED
O00000164,101063.0,P00125,5,2026-09-10,2026-09-10 21:24:00,DELIVERED
O00000165,101926.0,P00028,5,2026-09-02,2026-09-02 00:47:00,CONFIRMED
O00000166,101115.0,P00604,3,2026-08-28,2026-08-28 00:37:00,CANCELLED
O00000167,107658.0,P00051,1,2026-08-01,2026-08-01 17:04:00,CONFIRMED
O00000168,106656.0,P00683,2,2026-08-09,2026-08-09 15:44:00,CANCELLED
O00000169,108584.0,P00473,4,2026-08-02,2026-08-02 11:59:00,DELIVERED
O00000170,104548.0,P00688,5,2026-09-01,2026-09-01 01:05:00,DELIVERED
O00000171,108299.0,P00133,1,2026-08-09,2026-08-09 22:24:00,PLACED
O00000172,109829.0,P00931,4,2026-09-06,2026-09-06 10:27:00,SHIPPED
O00000173,107367.0,P00208,3,2026-08-28,2026-08-28 00:31:00,CANCELLED
O00000174,109224.0,P00703,1,2026-08-24,2026-08-24 12:44:00,CANCELLED
O00000175,105802.0,P00887,1,2026-08-11,2026-08-11 04:02:00,CONFIRMED
O00000176,109322.0,P00957,4,2026-08-24,2026-08-24 12:15:00,SHIPPED
O00000177,102863.0,P00361,1,2026-09-03,2026-09-03 21:39:00,PLACED
O00000178,106954.0,P00479,3,2026-09-01,2026-09-01 11:06:00,CANCELLED
O00000179,103099.0,P00372,5,2026-08-27,2026-08-27 20:30:00,PLACED
O00000180,101852.0,P00502,4,2026-09-05,2026-09-05 04:46:00,SHIPPED
O00000181,108178.0,P00462,5,2026-09-02,2026-09-02 14:18:00,CONFIRMED
O00000182,105458.0,P00671,5,2026-08-24,2026-08-24 19:59:00,SHIPPED
O00000183,106109.0,P00396,5,2026-08-14,2026-08-14 17:15:00,CANCELLED
O00000184,102035.0,P00182,3,2026-09-07,2026-09-07 15:48:00,CONFIRMED
O00000185,103280.0,P00064,4,2026-08-03,2026-08-03 02:39:00,SHIPPED
O00000186,102017.0,P00153,4,2026-08-28,2026-08-28 20:36:00,DELIVERED
O00000187,109316.0,P00431,5,2026-08-08,2026-08-08 18:05:00,CANCELLED
O00000188,103916.0,P00695,1,2026-08-13,2026-08-13 06:23:00,CONFIRMED
O00000189,109095.0,P00490,5,2026-09-10,2026-09-10 02:15:00,CONFIRMED
O00000190,106445.0,P00544,2,2026-08-03,2026-08-03 10:41:00,CANCELLED
O00000191,103858.0,P00338,3,2026-08-31,2026-08-31 11:14:00,CONFIRMED
O00000192,100873.0,P00140,5,2026-08-28,2026-08-28 22:10:00,SHIPPED
O00000193,107866.0,P00517,1,2026-09-05,2026-09-05 15:16:00,PLACED
O00000194,106607.0,P00606,5,2026-08-12,2026-08-12 17:10:00,CONFIRMED
O00000195,102003.0,P00463,2,2026-08-19,2026-08-19 23:23:00,CANCELLED
O00000196,109487.0,P00227,1,2026-08-11,2026-08-11 04:08:00,DELIVERED
O00000197,107070.0,P00344,1,2026-09-11,2026-09-11 14:32:00,CONFIRMED
O00000198,107199.0,P00383,1,2026-09-06,2026-09-06 20:17:00,SHIPPED
O00000199,108110.0,P00743,4,2026-08-21,2026-08-21 15:44:00,CANCELLED
O00000200,103340.0,P00076,2,2026-08-06,2026-08-06 14:19:00,SHIPPED
O00000201,105231.0,P00212,3,2026-08-14,2026-08-14 09:41:00,CONFIRMED
O00000202,101126.0,P00707,3,2026-09-02,2026-09-02 22:04:00,DELIVERED
O00000203,109628.0,P00145,4,2026-08-23,2026-08-23 01:54:00,CONFIRMED
O00000204,108448.0,P00036,2,2026-08-04,2026-08-04 19:17:00,DELIVERED
O00000205,106114.0,P00462,3,2026-09-07,2026-09-07 22:54:00,DELIVERED
O00000206,103229.0,P00205,5,2026-08-12,2026-08-12 19:16:00,PLACED
O00000207,107547.0,P01000,1,2026-08-27,2026-08-27 17:24:00,CANCELLED
O00000208,100272.0,P00410,5,2026-09-04,2026-09-04 10:20:00,SHIPPED
O00000209,104467.0,P00273,1,2026-08-15,2026-08-15 18:41:00,PLACED
O00000210,102391.0,P00879,4,2026-08-05,2026-08-05 00:19:00,CANCELLED
O00000211,103162.0,P00358,3,2026-08-31,2026-08-31 08:39:00,CANCELLED
O00000212,100023.0,P00110,5,2026-08-10,2026-08-10 03:58:00,PLACED
O00000213,106811.0,P00626,5,2026-09-02,2026-09-02 17:56:00,PLACED
O00000214,109605.0,P00252,3,2026-08-14,2026-08-14 04:48:00,DELIVERED
O00000215,105025.0,P00816,5,2026-08-21,2026-08-21 06:33:00,PLACED
O00000216,108184.0,P00039,2,2026-08-07,2026-08-07 02:20:00,SHIPPED
O00000217,100872.0,P00659,1,2026-08-30,2026-08-30 11:25:00,DELIVERED
O00000218,106298.0,P00192,3,2026-08-19,2026-08-19 21:10:00,SHIPPED
O00000219,102666.0,P00004,2,2026-08-21,2026-08-21 09:26:00,PLACED
O00000220,104107.0,P00813,4,2026-08-15,2026-08-15 10:45:00,CANCELLED
O00000221,104096.0,P00584,3,2026-08-11,2026-08-11 04:42:00,PLACED
O00000222,107288.0,P00253,3,2026-09-01,2026-09-01 02:48:00,CONFIRMED
O00000223,101017.0,P00941,5,2026-08-18,2026-08-18 12:24:00,SHIPPED
O00000224,100813.0,P00739,1,2026-08-17,2026-08-17 15:43:00,DELIVERED
O00000225,109351.0,P00539,1,2026-08-04,2026-08-04 07:59:00,PLACED
O00000226,105857.0,P00111,4,2026-08-29,2026-08-29 18:49:00,CONFIRMED
O00000227,104256.0,P00648,1,2026-08-22,2026-08-22 04:04:00,CONFIRMED
O00000228,104769.0,P00649,1,2026-08-01,2026-08-01 05:10:00,DELIVERED
O00000229,106275.0,P00527,1,2026-08-22,2026-08-22 12:04:00,CANCELLED
O00000230,101408.0,P00542,3,2026-08-22,2026-08-22 13:16:00,SHIPPED
O00000231,103229.0,P00446,4,2026-08-08,2026-08-08 06:13:00,SHIPPED
O00000232,105580.0,P00963,5,2026-08-01,2026-08-01 04:33:00,PLACED
O00000233,105235.0,P00566,1,2026-08-22,2026-08-22 13:44:00,DELIVERED
O00000234,106115.0,P00745,4,2026-09-11,2026-09-11 19:06:00,CANCELLED
O00000235,105394.0,P00182,3,2026-08-11,2026-08-11 18:03:00,CANCELLED
O00000236,109583.0,P00884,1,2026-08-12,2026-08-12 05:05:00,PLACED
O00000237,109346.0,P00597,5,2026-09-11,2026-09-11 09:10:00,SHIPPED
O00000238,101805.0,P00292,1,2026-09-02,2026-09-02 03:18:00,PLACED
O00000239,106501.0,P00923,5,2026-08-14,2026-08-14 16:23:00,CANCELLED
O00000240,104662.0,P00876,2,2026-08-13,2026-08-13 18:07:00,DELIVERED
O00000241,101978.0,P00849,2,2026-08-21,2026-08-21 04:00:00,PLACED
O00000242,100704.0,P00156,1,2026-08-07,2026-08-07 14:19:00,CANCELLED
O00000243,105034.0,P00447,5,2026-09-02,2026-09-02 20:19:00,CANCELLED
O00000244,106607.0,P00373,5,2026-09-02,2026-09-02 16:25:00,SHIPPED
O00000245,108888.0,P00151,4,2026-09-04,2026-09-04 02:44:00,CONFIRMED
O00000246,106318.0,P00469,3,2026-09-08,2026-09-08 03:15:00,CANCELLED
O00000247,104475.0,P00711,5,2026-08-07,2026-08-07 13:19:00,PLACED
O00000248,102450.0,P00737,1,2026-08-21,2026-08-21 06:50:00,CANCELLED
O00000249,101559.0,P00101,2,2026-09-11,2026-09-11 00:57:00,PLACED
O00000250,102252.0,P00223,1,2026-09-03,2026-09-03 10:56:00,SHIPPED
O00000251,102799.0,P00909,2,2026-08-26,2026-08-26 17:49:00,SHIPPED
O00000252,100203.0,P00745,2,2026-08-12,2026-08-12 17:16:00,CONFIRMED
O00000253,106440.0,P00489,1,2026-08-17,2026-08-17 12:11:00,CONFIRMED
O00000254,105131.0,P00253,3,2026-08-11,2026-08-11 00:08:00,CONFIRMED
O00000255,107226.0,P00820,1,2026-08-16,2026-08-16 17:27:00,DELIVERED
O00000256,105095.0,P00792,2,2026-08-31,2026-08-31 12:01:00,CANCELLED
O00000257,109668.0,P00770,5,2026-08-13,2026-08-13 20:40:00,DELIVERED
O00000258,106990.0,P00726,4,2026-09-10,2026-09-10 22:58:00,DELIVERED
O00000259,108180.0,P00499,2,2026-08-20,2026-08-20 01:34:00,PLACED
O00000260,105539.0,P00183,3,2026-08-03,2026-08-03 14:41:00,PLACED
O00000261,103583.0,P00716,1,2026-08-02,2026-08-02 07:53:00,SHIPPED
O00000262,109804.0,P00732,4,2026-08-05,2026-08-05 00:44:00,CONFIRMED
O00000263,102254.0,P00353,3,2026-08-19,2026-08-19 14:51:00,CONFIRMED
O00000264,101061.0,P00448,5,2026-08-28,2026-08-28 11:18:00,CANCELLED
O00000265,107953.0,P00865,4,2026-08-14,2026-08-14 18:11:00,CONFIRMED
O00000266,103036.0,P00225,5,2026-09-07,2026-09-07 17:20:00,PLACED
O00000267,108377.0,P00591,2,2026-09-05,2026-09-05 05:50:00,DELIVERED
O00000268,102727.0,P00796,4,2026-09-11,2026-09-11 06:42:00,CANCELLED
O00000269,100350.0,P00490,1,2026-09-11,2026-09-11 13:33:00,SHIPPED
O00000270,103806.0,P00361,4,2026-08-12,2026-08-12 20:56:00,CONFIRMED
O00000271,109865.0,P00377,5,2026-08-06,2026-08-06 16:39:00,CONFIRMED
O00000272,106986.0,P00699,5,2026-08-05,2026-08-05 02:46:00,CANCELLED
O00000273,103133.0,P00327,2,2026-08-12,2026-08-12 21:05:00,SHIPPED
O00000274,105672.0,P00008,4,2026-08-30,2026-08-30 23:03:00,PLACED
O00000275,100101.0,P00741,5,2026-09-01,2026-09-01 15:23:00,CANCELLED
O00000276,109468.0,P00625,5,2026-08-20,2026-08-20 18:18:00,DELIVERED
O00000277,106192.0,P00517,4,2026-08-13,2026-08-13 11:29:00,DELIVERED
O00000278,108960.0,P00957,1,2026-08-09,2026-08-09 02:15:00,SHIPPED
O00000279,104215.0,P00566,3,2026-09-07,2026-09-07 11:04:00,SHIPPED
O00000280,102669.0,P00922,3,2026-08-18,2026-08-18 23:10:00,CANCELLED
O00000281,103214.0,P00837,2,2026-08-22,2026-08-22 10:06:00,PLACED
O00000282,105752.0,P00302,1,2026-08-21,2026-08-21 19:04:00,CANCELLED
O00000283,105807.0,P00113,1,2026-08-27,2026-08-27 06:42:00,PLACED
O00000284,105057.0,P00351,1,2026-09-08,2026-09-08 13:31:00,CONFIRMED
O00000285,105825.0,P00752,5,2026-08-28,2026-08-28 07:25:00,PLACED
O00000286,104126.0,P00067,4,2026-08-22,2026-08-22 23:01:00,CONFIRMED
O00000287,103888.0,P00268,2,2026-09-01,2026-09-01 04:09:00,DELIVERED
O00000288,107637.0,P00890,1,2026-09-01,2026-09-01 16:50:00,CONFIRMED
O00000289,108930.0,P00115,2,2026-08-12,2026-08-12 06:40:00,CANCELLED
O00000290,108624.0,P00836,5,2026-08-06,2026-08-06 14:04:00,CANCELLED
O00000291,105034.0,P00691,4,2026-08-15,2026-08-15 11:55:00,SHIPPED
O00000292,102642.0,P00452,3,2026-08-09,2026-08-09 03:04:00,CANCELLED
O00000293,108160.0,P00913,2,2026-08-28,2026-08-28 07:48:00,PLACED
O00000294,103373.0,P00245,1,2026-08-06,2026-08-06 09:38:00,PLACED
O00000295,102654.0,P00998,2,2026-09-04,2026-09-04 16:25:00,PLACED
O00000296,105478.0,P00801,5,2026-08-28,2026-08-28 23:49:00,SHIPPED
O00000297,108726.0,P00098,5,2026-08-02,2026-08-02 00:15:00,PLACED
O00000298,104880.0,P00561,3,2026-08-16,2026-08-16 22:26:00,PLACED
O00000299,101110.0,P00513,2,2026-08-03,2026-08-03 01:08:00,SHIPPED
O00000300,100389.0,P00558,1,2026-08-05,2026-08-05 22:16:00,DELIVERED
O00000301,104290.0,P00996,4,2026-08-03,2026-08-03 04:33:00,PLACED
O00000302,107711.0,P00546,4,2026-08-28,2026-08-28 20:35:00,CONFIRMED
O00000303,109305.0,P00622,5,2026-08-12,2026-08-12 02:18:00,DELIVERED
O00000304,102104.0,P00986,1,2026-08-01,2026-08-01 06:42:00,SHIPPED
O00000305,108120.0,P00262,2,2026-08-13,2026-08-13 20:19:00,CONFIRMED
O00000306,101712.0,P00045,4,2026-08-20,2026-08-20 09:08:00,SHIPPED
O00000307,100341.0,P00302,4,2026-08-05,2026-08-05 01:51:00,PLACED
O00000308,104789.0,P00114,2,2026-08-05,2026-08-05 00:40:00,PLACED
O00000309,105472.0,P00984,4,2026-08-16,2026-08-16 10:23:00,CANCELLED
O00000310,107740.0,P00779,2,2026-08-20,2026-08-20 04:03:00,CONFIRMED
O00000311,106935.0,P00774,4,2026-08-15,2026-08-15 19:22:00,CONFIRMED
O00000312,101258.0,P00728,5,2026-08-06,2026-08-06 15:24:00,CANCELLED
O00000313,108140.0,P00733,5,2026-09-05,2026-09-05 18:35:00,DELIVERED
O00000314,107176.0,P00940,3,2026-09-01,2026-09-01 13:30:00,PLACED
O00000315,107614.0,P00673,1,2026-08-14,2026-08-14 16:30:00,CONFIRMED
O00000316,101377.0,P00546,5,2026-08-14,2026-08-14 19:34:00,CONFIRMED
O00000317,102634.0,P00043,3,2026-09-09,2026-09-09 14:41:00,CANCELLED
O00000318,104505.0,P00370,1,2026-08-31,2026-08-31 07:02:00,CANCELLED
O00000319,108214.0,P00420,5,2026-08-17,2026-08-17 10:21:00,PLACED
O00000320,107476.0,P00849,2,2026-09-11,2026-09-11 23:50:00,SHIPPED
O00000321,100502.0,P00511,5,2026-08-08,2026-08-08 17:35:00,DELIVERED
O00000322,100657.0,P00254,1,2026-08-20,2026-08-20 23:43:00,SHIPPED
O00000323,105431.0,P00635,2,2026-09-01,2026-09-01 10:32:00,CANCELLED
O00000324,105330.0,P00245,4,2026-08-07,2026-08-07 17:40:00,CONFIRMED
O00000325,104570.0,P00848,3,2026-08-03,2026-08-03 11:57:00,CANCELLED
